k,start_id,start_geoid,end_id,end_geoid,density
3,68,39049005420,279,39049010500,3.0
10,74,39049005820,90,39049006372,3.0
5,75,39049005900,155,39049007427,3.0
13,75,39049005900,193,39049008163,3.0
3,75,39049005900,278,39049010400,3.0
13,76,39049006000,260,39049009450,3.0
3,77,39049006100,146,39049007209,3.0
22,78,39049006220,69,39049005500,3.0
10,78,39049006220,90,39049006372,3.0
19,78,39049006220,245,39049009371,3.0
20,80,39049006236,166,39049007551,3.0
16,81,39049006310,18,39049001000,3.0
12,81,39049006310,188,39049008132,3.0
13,81,39049006310,260,39049009450,3.0
16,82,39049006321,63,39049005000,3.0
23,82,39049006321,196,39049008230,3.0
10,83,39049006323,90,39049006372,3.0
2,83,39049006323,160,39049007520,3.0
20,84,39049006330,184,39049007954,3.0
12,84,39049006330,194,39049008164,3.0
5,85,39049006340,155,39049007427,3.0
1,85,39049006340,247,39049009373,3.0
16,86,39049006351,38,39049002600,3.0
16,88,39049006353,59,39049004700,3.0
8,88,39049006353,121,39049006945,3.0
2,88,39049006353,160,39049007520,1.0
2,88,39049006353,191,39049008161,2.0
4,89,39049006371,47,39049002900,1.0
4,89,39049006371,200,39049008312,2.0
5,92,39049006384,115,39049006931,3.0
22,92,39049006384,205,39049008350,1.0
22,92,39049006384,248,39049009374,2.0
24,94,39049006387,192,39049008162,3.0
16,96,39049006392,18,39049001000,3.0
8,96,39049006392,240,39049009337,3.0
12,97,39049006393,187,39049008120,3.0
4,97,39049006393,200,39049008312,3.0
23,97,39049006393,225,39049009230,3.0
16,98,39049006394,63,39049005000,3.0
19,98,39049006394,79,39049006230,3.0
19,101,39049006410,99,39049006395,3.0
5,101,39049006410,115,39049006931,3.0
12,101,39049006410,194,39049008164,3.0
13,102,39049006430,223,39049009210,3.0
1,102,39049006430,247,39049009373,3.0
5,103,39049006500,91,39049006383,3.0
26,103,39049006500,190,39049008142,3.0
12,103,39049006500,194,39049008164,3.0
13,104,39049006600,212,39049008720,3.0
19,105,39049006710,276,39049010200,3.0
26,106,39049006721,190,39049008142,3.0
3,108,39049006810,146,39049007209,3.0
12,108,39049006810,187,39049008120,1.0
12,108,39049006810,194,39049008164,2.0
19,110,39049006822,109,39049006821,1.0
19,110,39049006822,276,39049010200,2.0
5,111,39049006910,88,39049006353,3.0
18,117,39049006933,265,39049009600,3.0
5,118,39049006942,90,39049006372,2.0
5,118,39049006942,91,39049006383,1.0
16,119,39049006943,38,39049002600,3.0
13,119,39049006943,193,39049008163,3.0
27,121,39049006945,168,39049007721,3.0
26,122,39049006950,190,39049008142,3.0
13,123,39049006990,223,39049009210,3.0
19,124,39049007010,109,39049006821,1.0
19,124,39049007010,116,39049006932,2.0
