TRACT,0,10000,20000,30000,40000,50000,60000,1,10001,20001,30001,40001,50001,60001,100,10100,20100,30100,40100,50100,60100,101,10101,20101,30101,40101,50101,60101,white,black,aian,aapi,others,nva,va,nh,h,total,flag,diff
39049005420,33,592,0,3,0,7,14,3,6,0,0,0,3,5,132,1257,5,4,0,8,4,9,7,0,0,0,6,0,177,1862,5,7,47,666,1432,2059,39,2098,Unchanged,0
39049005500,57,1063,0,2,0,11,47,10,16,1,0,0,9,1,255,2501,12,12,0,8,14,17,25,0,0,0,14,0,339,3605,13,14,104,1217,2858,3982,93,4075,Net-inflow,16
39049005610,111,395,1,0,0,1,16,0,5,1,0,0,11,0,452,671,6,2,0,1,6,10,1,1,0,0,7,1,573,1072,9,2,43,541,1158,1662,37,1699,Net-outflow,-9
39049005620,364,286,0,2,0,2,13,15,2,0,0,0,16,1,1183,526,10,12,0,2,8,18,1,0,0,0,6,2,1580,815,10,14,50,701,1768,2408,61,2469,Net-outflow,-12
39049005700,164,23,0,4,0,0,5,18,0,2,0,0,0,0,3074,158,6,61,0,4,1,38,6,0,3,0,8,0,3294,187,8,68,18,216,3359,3500,75,3575,Net-outflow,-6
39049005810,189,23,0,0,0,6,4,23,0,0,0,0,0,0,2104,98,1,23,1,0,4,14,0,0,1,0,13,0,2330,121,1,25,27,245,2259,2453,51,2504,Net-outflow,-3
39049005820,317,26,1,0,0,1,14,18,0,0,3,0,5,0,1616,103,8,22,0,1,7,22,0,1,1,0,8,0,1973,129,10,26,36,385,1789,2116,58,2174,Net-outflow,-8
39049005900,108,549,1,3,0,3,24,0,6,0,0,0,0,3,484,1205,16,24,2,2,6,6,13,0,1,0,6,2,598,1773,17,30,46,697,1767,2427,37,2464,Net-inflow,3
39049006000,267,524,0,2,0,2,35,6,2,0,0,0,9,3,895,472,2,6,0,0,5,13,1,1,0,0,14,0,1181,999,3,8,68,850,1409,2210,49,2259,Net-outflow,-13
39049006100,410,144,5,3,0,0,14,9,2,0,0,0,7,4,1394,266,18,4,0,1,6,26,2,1,0,0,14,0,1839,414,24,7,46,598,1732,2265,65,2330,Net-inflow,11
39049006220,960,39,1,121,0,5,19,33,5,0,3,0,16,0,4448,140,4,467,1,3,13,82,3,1,2,0,65,0,5523,187,6,594,121,1202,5229,6221,210,6431,Net-outflow,-14
39049006230,1808,89,8,812,0,10,60,56,5,0,2,0,51,6,7257,327,4,2044,2,16,23,185,8,0,5,0,107,1,9306,429,12,2865,274,2907,9979,12460,426,12886,Net-inflow,15
39049006236,1678,23,0,156,0,2,18,17,0,0,0,0,2,1,3619,46,0,303,0,4,3,40,1,0,0,0,1,0,5354,70,0,459,31,1897,4017,5852,62,5914,Net-outflow,-10
39049006310,929,7,2,58,0,2,16,24,0,0,0,0,3,3,3183,21,3,111,0,2,6,24,0,0,0,0,5,0,4160,28,5,169,37,1044,3355,4340,59,4399,Net-outflow,-15
39049006321,767,7,0,55,0,2,15,19,0,0,0,0,2,1,2901,27,3,185,1,4,6,25,0,3,0,0,7,0,3712,34,6,241,37,868,3162,3973,57,4030,Net-outflow,-12
39049006323,528,9,3,57,1,4,15,13,1,0,3,0,6,2,2415,26,1,178,1,4,1,18,0,0,0,0,7,0,2974,36,4,240,39,642,2651,3243,50,3293,Net-outflow,-13
39049006330,1003,13,1,55,0,4,26,26,0,0,0,0,3,2,3283,21,5,139,1,5,3,45,2,0,2,0,9,0,4357,36,6,197,52,1133,3515,4559,89,4648,Net-outflow,-14
39049006340,611,3,0,82,0,3,8,13,0,0,0,0,1,0,2043,30,2,224,0,6,7,16,1,0,0,0,4,0,2683,34,2,306,29,721,2333,3019,35,3054,Net-outflow,-10
39049006351,423,53,0,39,0,0,11,17,0,0,0,0,7,2,2764,127,3,158,0,1,17,42,8,0,0,0,22,0,3246,188,3,197,60,552,3142,3596,98,3694,Net-inflow,14
39049006352,114,29,3,89,0,4,2,9,1,0,0,0,20,0,1731,190,5,517,2,7,12,126,1,0,0,0,57,0,1980,221,8,608,102,271,2648,2705,214,2919,Net-outflow,-9
39049006353,383,43,3,98,0,23,15,12,3,0,0,0,48,0,2744,216,3,434,0,1,19,131,1,0,0,0,187,0,3270,263,6,532,293,628,3736,3982,382,4364,Net-inflow,9
39049006371,1079,120,4,197,3,9,36,43,14,0,1,1,69,1,3511,225,4,577,2,8,13,219,8,0,0,0,156,1,4852,367,8,781,293,1577,4724,5788,513,6301,Net-inflow,11
39049006372,765,192,2,165,0,26,31,21,10,0,9,2,86,0,3082,298,5,477,1,4,20,228,1,0,0,2,161,2,4096,501,7,656,330,1309,4281,5068,522,5590,Net-inflow,10
39049006383,1583,182,6,210,0,24,58,30,0,0,2,0,84,2,5098,349,10,510,0,9,14,261,11,1,5,0,192,0,6972,542,17,727,383,2181,6460,8053,588,8641,Net-inflow,15
39049006384,1114,56,5,185,0,3,43,28,1,0,0,0,43,0,3769,191,4,427,1,4,13,119,3,1,0,0,60,0,5030,251,10,613,166,1478,4592,5815,255,6070,Net-outflow,-6
39049006386,588,63,0,148,0,5,31,4,2,0,1,0,17,0,2081,133,2,391,1,2,5,129,0,0,0,0,45,0,2802,198,2,541,105,859,2789,3450,198,3648,Net-outflow,-8
